Date,Day,Home,Division,League,Matchup,,,,Attend,IL?,Notes,
6-Apr,Sun,Dodgers,NL West,NL,at LA Dodgers 6 San Francisco 2,Greinke (2-0),Cain (0-1),,48367,,,
7-Apr,Mon,Indians,AL Central,AL,San Diego at Cleveland,Postponed,,,N/A,,,
7-Apr,Mon,Yankees,AL East,AL,at NY Yankees 4 Baltimore 2,Kuroda (1-1),Jimenez (0-2),Kelley (1),48142,,,
7-Apr,Mon,Astros,AL West,AL,LA Angels 9 at Houston 1,Wilson (1-1),Cosart (1-1),,17936,,,
7-Apr,Mon,Phillies,NL East,NL,Milwaukee at Philadelphia,Postponed,,,N/A,,,
7-Apr,Mon,Twins,AL Central,AL,Oakland 8 at Minnesota 3,Kazmir (2-0),Correia (0-1),,35837,,,
7-Apr,Mon,Cardinals,NL Central,NL,at St. Louis 5 Cincinnati 3,Wacha (1-0),Cingrani (0-1),,47492,,,
7-Apr,Mon,Red Sox,AL East,AL,at Boston 5 Texas 1,Lackey (2-0),Scheppers (0-1),,35842,,,
7-Apr,Mon,Royals,AL Central,AL,at Kansas City 4 Tampa Bay 2,Vargas (1-0),Moore (0-2),Holland (3),12087,,,
7-Apr,Mon,Rockies,NL West,NL,at Colorado 8 Chicago White Sox 1,Lyles (2-0),Paulino (0-1),,22550,Y,,
8-Apr,Tues,Yankees,AL East,AL,Baltimore 14 at NY Yankees 5,Chen (1-1),Nova (1-1),,35864,,,
8-Apr,Tues,Phillies,NL East,NL,Milwaukee 10 at Philadelphia 4,Lohse (1-1),Kendrick (0-1),,45061,,,
8-Apr,Tues,Giants,NL West,NL,at San Francisco 7 Arizona 3,Hudson (2-0),Cahill (0-2),,42166,,,
8-Apr,Tues,Red Sox,AL East,AL,Texas 10 at Boston 7,Perez (1-0),Doubront (1-1),,34142,,,
8-Apr,Tues,Indians,AL Central,AL,at Cleveland 8 San Diego 6,Kluber (1-1),Ross (0-2),Axford (3),9029,y,,
8-Apr,Tues,Nationals,NL East,NL,at Washington 5 Miami 0,Gonzalez (2-0),Alvarez (0-2),,21728,,,
8-Apr,Tues,Blue Jays,AL East,AL,at Toronto 5 Houston 2,Buehrle (2-0),Oberholtzer (0-2),Santos (3),13123,,,
8-Apr,Tues,Braves,NL East,NL,NY Mets 4 at Atlanta 0,Colon (1-1),Harang (1-1),,47144,,,
8-Apr,Tues,Cubs,NL Central,NL,Pittsburgh 7 at Chicago Cubs 6,Watson (2-0),Strop (0-1),Grilli (2),26177,,,
8-Apr,Tues,Royals,AL Central,AL,Tampa Bay 1 at Kansas City 0,Peralta (1-1),Holland (0-1),Balfour (2),13905,,,
8-Apr,Tues,Cardinals,NL Central,NL,at St. Louis 7 Cincinnati 5,Lynn (2-0),Ondrusek (0-1),Rosenthal (3),40672,,,
8-Apr,Tues,Rockies,NL West,NL,Chicago White Sox 15 at Colorado 3,Quintana (1-0),Morales (0-1),,25393,y,,
