Date,Day,Home,Division,League,Matchup,,,,Attend,IL?,Notes,
6-Jul,Sun,Pirates,NL Central,NL,at Pittsburgh 6 Philadelphia 2,Locke (2-1),Burnett (5-8),,33408,,,
6-Jul,Sun,White Sox,AL Central,AL,at Chicago White Sox 1 Seattle 0,Noesi (3-6),Walker (1-1),Petricka (3),23257,,,
6-Jul,Sun,Twins,AL Central,AL,NY Yankees 9 at Minnesota 7,Kuroda (6-6),Nolasco (5-7),Robertson (21),31171,,,
6-Jul,Sun,Cardinals,NL Central,NL,Miami 8 at St. Louis 4,Alvarez (6-3),Gonzales (0-2),,42160,,,
6-Jul,Sun,Angels,AL West,AL,at LA Angels 6 Houston 1,Richards (10-2),McHugh (4-8),,33552,,,
6-Jul,Sun,Athletics,AL West,AL,at Oakland 4 Toronto 2,Samardzija (1-0),Hutchison (6-7),Doolittle (13),22897,,,
6-Jul,Sun,Padres,NL West,NL,San Francisco 5 at San Diego 3,Lincecum (8-5),Hahn (4-2),Casilla (4),28065,,,
6-Jul,Sun,Rockies,NL West,NL,LA Dodgers 8 at Colorado 2,Beckett (6-5),Flande (0-2),,33924,,,
6-Jul,Sun,Tigers,AL Central,AL,Tampa Bay 7 at Detroit 3,Price (8-7),Porcello (11-5),McGee (5),31917,,,
7-Jul,Mon,Indians,AL Central,AL,NY Yankees 5 at Cleveland 3,Greene (1-0),Masterson (4-6),Betances (1),21558,,,
7-Jul,Mon,Nationals,NL East,NL,Baltimore 8 at Washington 2,McFarland (2-2),Stammen (0-4),,35126,,,
7-Jul,Mon,Red Sox,AL East,AL,Chicago White Sox 4 at Boston 0,Carroll (3-5),Buchholz (3-5),,35114,,,
7-Jul,Mon,Reds,NL Central,NL,at Cincinnati 9 Chicago Cubs 3,Leake (7-7),Jackson (5-9),,26558,,,
7-Jul,Mon,Mets,NL East,NL,at NY Mets 4 Atlanta 3,Torres (4-4),Varvaro (3-2),,20836,,,
7-Jul,Mon,Rays,AL East,AL,Kansas City 6 at Tampa Bay 0,Shields (9-4),Odorizzi (4-8),,13406,,,
7-Jul,Mon,Rangers,AL West,AL,Houston 12 at Texas 7,Cosart (9-6),Mikolas (0-1),,31010,,,
7-Jul,Mon,Brewers,NL Central,NL,Philadelphia 3 at Milwaukee 2,Hamels (3-5),Estrada (7-6),Papelbon (20),28080,,,
7-Jul,Mon,Cardinals,NL Central,NL,at St. Louis 2 Pittsburgh 0,Neshek (3-0),Wilson (2-1),,42448,,,
7-Jul,Mon,Rockies,NL West,NL,San Diego 6 at Colorado 1,Kennedy (7-9),Matzek (1-3),,26782,,,
7-Jul,Mon,Dbacks,NL West,NL,at Arizona 9 Miami 1,Anderson (6-4),Koehler (6-7),,17103,,,
7-Jul,Mon,Angels,AL West,AL,at LA Angels 5 Toronto 2,Shoemaker (7-2),Happ (7-5),Smith (11),38189,,,
7-Jul,Mon,Athletics,AL West,AL,at Oakland 5 San Francisco 0,Chavez (7-5),Vogelsong (5-6),,36067,y,,
7-Jul,Mon,Mariiners,AL West,AL,at Seattle 2 Minnesota 0,Iwakuma (7-4),Correia (4-11),Rodney (26),18562,,,
8-Jul,Tues,Reds,NL Central,NL,at Cincinnati 4 Chicago Cubs 2,Cueto (9-6),Wood (7-7),Chapman (18),17371,,,
8-Jul,Tues,Indians,AL Central,AL,at Cleveland 5 NY Yankees 3,Bauer (3-4),Tanaka (12-4),Allen (10),23384,,,
8-Jul,Tues,Nationals,NL East,NL,Baltimore at Washington,Postponed,,,N/A,,,
8-Jul,Tues,Tigers,AL Central,AL,at Detroit 14 LA Dodgers 5,Verlander (8-7),Ryu (8-5),,36912,y,,
8-Jul,Tues,Red Sox,AL East,AL,Chicago White Sox 8 at Boston 3,Danks (8-6),Workman (1-3),,35345,,,
8-Jul,Tues,Mets,NL East,NL,at NY Mets 8 Atlanta 3,deGrom (2-5),Teheran (8-6),,20671,,,
8-Jul,Tues,Rays,AL East,AL,at Tampa Bay 4 Kansas City 3,Boxberger (2-1),Vargas (8-4),McGee (6),12818,,,
8-Jul,Tues,Reds,NL Central,NL,at Cincinnati 6 Chicago Cubs 5,Ondrusek (3-2),Rondon (1-3),,29991,,,
8-Jul,Tues,Rangers,AL West,AL,Houston 8 at Texas 3,Peacock (3-5),Irwin (0-1),,32608,,,
8-Jul,Tues,Brewers,NL Central,NL,Philadelphia 9 at Milwaukee 7,Kendrick (4-8),Peralta (9-6),Papelbon (21),26126,,,
8-Jul,Tues,Cardinals,NL Central,NL,at St. Louis 5 Pittsburgh 4,Rosenthal (1-4),Frieri (1-1),,43162,,,
8-Jul,Tues,Rockies,NL West,NL,at Colorado 2 San Diego 1,Morales (5-4),Ross (7-9),Hawkins (16),27601,,,
8-Jul,Tues,Dbacks,NL West,NL,Miami 2 at Arizona 1,Dunn (7-4),Reed (1-5),Cishek (20),18319,,,
8-Jul,Tues,Angels,AL West,AL,Toronto 4 at LA Angels 0,Dickey (7-8),Skaggs (4-5),,38111,,,
8-Jul,Tues,Athletics,AL West,AL,at Oakland 6 San Francisco 1,Gray (9-3),Bumgarner (9-7),,36067,y,,
8-Jul,Tues,Mariiners,AL West,AL,Minnesota 2 at Seattle 0,Hughes (9-5),Young (8-5),Perkins (21),15553,,,
9-Jul,Weds,Tigers,AL Central,AL,at Detroit 4 LA Dodgers 1,Scherzer (11-3),Greinke (11-5),Nathan (18),36462,y,,
9-Jul,Weds,Rockies,NL West,NL,at Colorado 6 San Diego 3,Logan (2-1),Benoit (3-1),Hawkins (17),26212,,,
9-Jul,Weds,Angels,AL West,AL,at LA Angels 8 Toronto 7,Grilli (1-1),Loup (2-2),Smith (12),35726,,,
9-Jul,Weds,Dbacks,NL West,NL,at Arizona 4 Miami 3,Ziegler (4-1),Cishek (4-5),,18268,,,
9-Jul,Weds,Orioles,AL East,AL,Washington 6 at Baltimore 2,Fister (8-2),Norris (7-6),,35575,y,,
9-Jul,Weds,Indians,AL Central,AL,NY Yankees 5 at Cleveland 4,Whitley (4-2),Pestano (0-1),Robertson (22),21727,,,
9-Jul,Weds,Red Sox,AL East,AL,at Boston 5 Chicago White Sox 4,Uehara (5-2),Guerra (0-1),,36218,,,
9-Jul,Weds,Reds,NL Central,NL,at Cincinnati 4 Chicago Cubs 1,Simon (12-3),Beeler (0-2),Chapman (19),32810,,,
9-Jul,Weds,Mets,NL East,NL,at NY Mets 4 Atlanta 1,Gee (4-1),Santana (7-6),Mejia (9),21327,,,
9-Jul,Weds,Rays,AL East,AL,Kansas City 5 at Tampa Bay 4,Crow (4-1),Yates (0-1),Holland (24),12150,,,
9-Jul,Weds,Cardinals,NL Central,NL,at St. Louis 5 Pittsburgh 2,Lynn (10-6),Cumpton (3-3),Rosenthal (27),43941,,,
9-Jul,Weds,Rangers,AL West,AL,Houston 8 at Texas 4,Keuchel (9-5),Darvish (8-5),,31161,,,
9-Jul,Weds,Brewers,NL Central,NL,Philadelphia 4 at Milwaukee 1,Hernandez (4-8),Lohse (9-4),Papelbon (22),26480,,,
9-Jul,Weds,Mariiners,AL West,AL,Minnesota 8 at Seattle 1,Gibson (8-7),Elias (7-8),,16460,,,
9-Jul,Weds,Giants,NL West,NL,at San Francisco 5 Oakland 2,Cain (2-7),Hammel (0-1),Casilla (5),41427,y,,
10-Jul,Thurs,Reds,NL Central,NL,Chicago Cubs 6 at Cincinnati 4,Parker (1-0),Hoover (1-6),,31983,,,
10-Jul,Thurs,Brewers,NL Central,NL,Philadelphia 9 at Milwaukee 1,Buchanan (5-5),Garza (6-6),,36394,,,
10-Jul,Thurs,Giants,NL West,NL,Oakland 6 at San Francisco 1,Kazmir (11-3),Hudson (7-6),,41069,y,,
10-Jul,Thurs,Red Sox,AL East,AL,at Boston 4 Chicago White Sox 3,Miller (3-5),Belisario (3-6),,37547,,,
10-Jul,Thurs,Orioles,AL East,AL,at Baltimore 4 Washington 3,Chen (9-3),Gonzalez (6-5),Britton (15),30417,y,,
10-Jul,Thurs,Indians,AL Central,AL,at Cleveland 9 NY Yankees 3,Carrasco (2-3),Thornton (0-3),,28334,,,
10-Jul,Thurs,Mets,NL East,NL,Atlanta 3 at NY Mets 1,Harang (9-6),Colon (8-8),Kimbrel (28),23528,,,
10-Jul,Thurs,Cardinals,NL Central,NL,Pittsburgh 9 at St. Louis 1,Volquez (8-6),Miller (7-8),,43974,,,
10-Jul,Thurs,Rangers,AL West,AL,LA Angels 15 at Texas 6,Santiago (1-7),Lewis (6-6),,30686,,,
10-Jul,Thurs,Royals,AL Central,AL,Detroit 16 at Kansas City 4,Smyly (5-8),Guthrie (5-8),,21775,,,
10-Jul,Thurs,Mariiners,AL West,AL,Minnesota 4 at Seattle 2,Pino (1-2),Wilhelmsen (1-2),Perkins (22),14530,,,
10-Jul,Thurs,Dodgers,NL West,NL,at LA Dodgers 2 San Diego 1,Kershaw (11-2),Despaigne (2-1),,50332,,,
11-Jul,Fri,Cubs,NL Central,NL,at Chicago Cubs 5 Atlanta 4,Rondon (2-3),Walden (0-1),,39544,,,
11-Jul,Fri,Orioles,AL East,AL,at Baltimore 3 NY Yankees 2,McFarland (3-2),Warren (1-5),,45389,,,
11-Jul,Fri,Indians,AL Central,AL,at Cleveland 7 Chicago White Sox 4,Kluber (9-6),Noesi (3-7),Allen (11),24652,,,
11-Jul,Fri,Phillies,NL East,NL,at Philadelphia 6 Washington 2,Burnett (6-8),Zimmermann (6-5),,30094,,,
11-Jul,Fri,Reds,NL Central,NL,at Cincinnati 6 Pittsburgh 5,Partch (1-0),Watson (5-1),Chapman (20),36613,,,
11-Jul,Fri,Mets,NL East,NL,at NY Mets 7 Miami 1,Wheeler (5-8),Alvarez (6-4),,25914,,,
11-Jul,Fri,Rays,AL East,AL,Toronto 8 at Tampa Bay 5,Loup (3-2),Balfour (0-3),Janssen (14),17533,,,
11-Jul,Fri,Rangers,AL West,AL,LA Angels 3 at Texas 0,Richards (11-2),Tepesch (3-5),Smith (13),38402,,,
11-Jul,Fri,Royals,AL Central,AL,Detroit 2 at Kansas City 1,Sanchez (6-3),Duffy (5-9),Nathan (19),31581,,,
11-Jul,Fri,Brewers,NL Central,NL,St. Louis 7 at Milwaukee 6,Neshek (4-0),Rodriguez (3-3),Rosenthal (28),35501,,,
11-Jul,Fri,Astros,AL West,AL,Boston 8 at Houston 3,Lackey (10-6),Feldman (4-6),,27264,,,
11-Jul,Fri,Rockies,NL West,NL,at Colorado 6 Minnesota 2,De La Rosa (10-6),Johnson (0-1),,36110,y,,
11-Jul,Fri,Mariiners,AL West,AL,at Seattle 3 Oakland 2,Hernandez (11-2),Samardzija (1-1),Rodney (27),32971,,,
11-Jul,Fri,Dodgers,NL West,NL,San Diego 6 at LA Dodgers 3,Hahn (5-2),Haren (8-6),Street (24),46073,,,
11-Jul,Fri,Giants,NL West,NL,at San Francisco 5 Arizona 0,Lincecum (9-5),Bolsinger (1-6),,41647,,,
12-Jul,Sat,Indians,AL Central,AL,Chicago White Sox 6 at Cleveland 2,Carroll (4-5),McAllister (3-5),,23837,,,
12-Jul,Sat,Orioles,AL East,AL,NY Yankees 3 at Baltimore 0,Greene (2-0),Tillman (7-5),Robertson (23),46667,,,
12-Jul,Sat,Cubs,NL Central,NL,Atlanta 11 at Chicago Cubs 6,Minor (3-5),Jackson (5-10),Carpenter (3),36806,,,
12-Jul,Sat,Giants,NL West,NL,Arizona 2 at San Francisco 0,Miley (5-6),Vogelsong (5-7),Reed (21),41261,,,
12-Jul,Sat,Brewers,NL Central,NL,St. Louis 10 at Milwaukee 2,Wainwright (12-4),Nelson (1-1),,40198,,,
12-Jul,Sat,Astros,AL West,AL,at Houston 3 Boston 2,Fields (2-4),Peavy (1-8),Qualls (10),26322,,,
12-Jul,Sat,Mets,NL East,NL,at NY Mets 5 Miami 4,Black (2-2),Dunn (7-5),Mejia (10),35283,,,
12-Jul,Sat,Rockies,NL West,NL,Minnesota 9 at Colorado 3,Correia (5-11),Matzek (1-4),,35930,y,,
12-Jul,Sat,Rays,AL East,AL,at Tampa Bay 10 Toronto 3,Odorizzi (5-8),Hutchison (6-8),,22693,,,
12-Jul,Sat,Royals,AL Central,AL,Detroit 5 at Kansas City 1,Porcello (12-5),Shields (9-5),,33849,,,
12-Jul,Sat,Rangers,AL West,AL,LA Angels 5 at Texas 2,Weaver (10-6),Mikolas (0-2),Smith (14),37253,,,
12-Jul,Sat,Reds,NL Central,NL,Pittsburgh 6 at Cincinnati 5,Wilson (3-1),Hoover (1-7),Gomez (1),42789,,,
12-Jul,Sat,Phillies,NL East,NL,Washington 5 at Philadelphia 3,Detwiler (1-2),Diekman (3-3),Soriano (22),32072,,,
12-Jul,Sat,Mariiners,AL West,AL,at Seattle 6 Oakland 2,Iwakuma (8-4),Chavez (7-6),,39204,,,
12-Jul,Sat,Dodgers,NL West,NL,at LA Dodgers 1 San Diego 0,Jansen (1-3),Quackenbush (1-2),,51794,,,
13-Jul,Sun,Indians,AL Central,AL,at Cleveland 3 Chicago White Sox 2,Shaw (4-1),Guerra (0-2),Allen (12),18070,,,
13-Jul,Sun,Reds,NL Central,NL,at Cincinnati 6 Pittsburgh 3,Cueto (10-6),Liriano (1-7),Chapman (21),35022,,,
13-Jul,Sun,Mets,NL East,NL,at NY Mets 9 Miami 1,deGrom (3-5),Hand (0-2),,28187,,,
13-Jul,Sun,Phillies,NL East,NL,Washington 10 at Philadelphia 3,Roark (8-6),Kendrick (4-9),,30185,,,
13-Jul,Sun,Rays,AL East,AL,at Tampa Bay 3 Toronto 0,Price (9-7),Dickey (7-9),McGee (7),17187,,,
13-Jul,Sun,Royals,AL Central,AL,at Kansas City 5 Detroit 2,Ventura (7-7),Verlander (8-8),Holland (25),23424,,,
13-Jul,Sun,Brewers,NL Central,NL,at Milwaukee 11 St. Louis 2,Peralta (10-6),Martinez (2-4),,35345,,,
13-Jul,Sun,Astros,AL West,AL,Boston 11 at Houston 0,Buchholz (4-5),Peacock (3-6),,20681,,,
13-Jul,Sun,Cubs,NL Central,NL,Atlanta 10 at Chicago Cubs 7,Teheran (9-6),Wood (7-8),Kimbrel (29),36363,,,
13-Jul,Sun,Rangers,AL West,AL,LA Angels 10 at Texas 7,Skaggs (5-5),Baker (0-3),Smith (15),34750,,,
13-Jul,Sun,Giants,NL West,NL,at San Francisco 8 Arizona 4,Bumgarner (10-7),Nuno (0-1),,41288,,,
13-Jul,Sun,Mariiners,AL West,AL,Oakland 4 at Seattle 1,Gray (10-3),Young (8-6),Doolittle (14),25944,,,
13-Jul,Sun,Dodgers,NL West,NL,at LA Dodgers 1 San Diego 0,Ryu (9-5),Ross (7-10),Jansen (27),47131,,,
13-Jul,Sun,Rockies,NL West,NL,Minnesota 13 at Colorado 5,Hughes (10-5),Anderson (0-3),,35743,y,,
13-Jul,Sun,Orioles,AL East,AL,at Baltimore 3 NY Yankees 1,Gausman (4-2),Whitley (4-3),,34483,,,
15-Jul,Tues,,,AL,at American 5 National 3,Scherzer,Neshek,Perkins,41048,,All-Star Break,
18-Jul,Fri,Yankees,AL East,AL,at NY Yankees 4 Cincinnati 3,Phelps (4-4),Leake (7-8),Robertson (24),47372,y,,
18-Jul,Fri,Nationals,NL East,NL,Milwaukee 4 at Washington 2,Lohse (10-4),Strasburg (7-7),Rodriguez (28),39373,,,
18-Jul,Fri,Pirates,NL Central,NL,at Pittsburgh 4 Colorado 2,Watson (6-1),Belisle (2-5),Melancon (17),37833,,,
18-Jul,Fri,Blue Jays,AL East,AL,Texas 5 at Toronto 1,Darvish (9-5),Dickey (7-10),,38012,,,
18-Jul,Fri,Tigers,AL Central,AL,Cleveland 9 at Detroit 3,Bauer (4-4),Sanchez (6-4),,42255,,,
18-Jul,Fri,Red Sox,AL East,AL,at Boston 5 Kansas City 4,Buchholz (5-5),Downs (0-3),Uehara (19),37743,,,
18-Jul,Fri,Marlins,NL East,NL,San Francisco 9 at Miami 1,Bumgarner (11-7),Eovaldi (5-5),,23017,,,
18-Jul,Fri,Braves,NL East,NL,at Atlanta 6 Philadelphia 4,Santana (8-6),Burnett (6-9),Kimbrel (30),39747,,,
18-Jul,Fri,White Sox,AL Central,AL,at Chicago White Sox 3 Houston 2,Webb (5-2),Feldman (4-7),Putnam (2),28777,,,
18-Jul,Fri,Twins,AL Central,AL,Tampa Bay 6 at Minnesota 2,Cobb (5-6),Gibson (8-8),,31058,,,
18-Jul,Fri,Cardinals,NL Central,NL,at St. Louis 3 LA Dodgers 2,Lynn (11-6),Haren (8-7),Rosenthal (29),45010,,,
18-Jul,Fri,Dbacks,NL West,NL,at Arizona 5 Chicago Cubs 4,De La Rosa (1-0),Schlitter (2-3),Reed (22),32619,,,
18-Jul,Fri,Angels,AL West,AL,at LA Angels 3 Seattle 2,Santiago (2-7),Leone (2-2),,42517,,,
18-Jul,Fri,Athletics,AL West,AL,at Oakland 5 Baltimore 4,O'Flaherty (1-0),Britton (3-2),,27232,,,
18-Jul,Fri,Padres,NL West,NL,NY Mets 5 at San Diego 4,Familia (2-3),Benoit (3-2),Mejia (11),27374,,,
19-Jul,Sat,Yankees,AL East,AL,at NY Yankees 7 Cincinnati 1,McCarthy (1-0),Simon (12-4),,47606,y,,
19-Jul,Sat,Blue Jays,AL East,AL,at Toronto 4 Texas 1,Stroman (5-2),Lewis (6-7),Loup (3),45802,,,
19-Jul,Sat,Tigers,AL Central,AL,Cleveland 6 at Detroit 2,Kluber (10-6),VerHagen (0-1),,38109,,,
19-Jul,Sat,Cardinals,NL Central,NL,at St. Louis 4 LA Dodgers 2,Kelly (2-1),Greinke (11-6),Rosenthal (30),43922,,,
19-Jul,Sat,Nationals,NL East,NL,at Washington 8 Milwaukee 3,Roark (9-6),Garza (6-7),,38649,,,
19-Jul,Sat,Pirates,NL Central,NL,at Pittsburgh 3 Colorado 2,Hughes (5-2),Bettis (0-2),,37396,,,
19-Jul,Sat,Tigers,AL Central,AL,Cleveland 5 at Detroit 2,Carrasco (3-3),Nathan (4-3),Allen (13),42044,,,
19-Jul,Sat,Red Sox,AL East,AL,at Boston 2 Kansas City 1,De La Rosa (3-2),Duffy (5-10),Uehara (20),37878,,,
19-Jul,Sat,White Sox,AL Central,AL,at Chicago White Sox 4 Houston 3,Noesi (4-7),Keuchel (9-6),Putnam (3),28210,,,
19-Jul,Sat,Twins,AL Central,AL,Tampa Bay 5 at Minnesota 1,Price (10-7),Hughes (10-6),McGee (8),36117,,,
19-Jul,Sat,Braves,NL East,NL,Philadelphia 2 at Atlanta 1,Hamels (4-5),Simmons (1-1),Papelbon (23),38602,,,
19-Jul,Sat,Marlins,NL East,NL,San Francisco 5 at Miami 3,Hudson (8-6),Alvarez (6-5),Casilla (6),24882,,,
19-Jul,Sat,Dbacks,NL West,NL,at Arizona 9 Chicago Cubs 3,Miley (6-6),Wood (7-9),,32528,,,
19-Jul,Sat,Padres,NL West,NL,at San Diego 6 NY Mets 0,Ross (8-10),Gee (4-2),,42702,,,
19-Jul,Sat,Angels,AL West,AL,Seattle 3 at LA Angels 2,Leone (3-2),Thatcher (0-1),Furbush (1),40231,,,
19-Jul,Sat,Athletics,AL West,AL,Baltimore 8 at Oakland 4,Chen (10-3),Hammel (0-2),Britton (16),36067,,,
20-Jul,Sun,Yankees,AL East,AL,at NY Yankees 3 Cincinnati 2,Robertson (1-2),Chapman (0-3),,43115,y,,
20-Jul,Sun,Blue Jays,AL East,AL,at Toronto 9 Texas 6,Redmond (1-4),Feliz (0-1),Loup (4),36011,,,
20-Jul,Sun,Tigers,AL Central,AL,at Detroit 5 Cleveland 1,Smyly (6-8),Tomlin (5-7),,41736,,,
20-Jul,Sun,Marlins,NL East,NL,at Miami 3 San Francisco 2,Hand (1-2),Lincecum (9-6),Cishek (21),25221,,,
20-Jul,Sun,Red Sox,AL East,AL,at Boston 6 Kansas City 0,Lester (10-7),Ventura (7-8),,37439,,,
20-Jul,Sun,Braves,NL East,NL,at Atlanta 8 Philadelphia 2,Wood (7-7),Kendrick (4-10),,24859,,,
20-Jul,Sun,Nationals,NL East,NL,at Washington 5 Milwaukee 4,Soriano (2-0),Wooten (1-4),,36373,,,
20-Jul,Sun,Pirates,NL Central,NL,at Pittsburgh 5 Colorado 3,Gomez (2-2),Belisle (2-6),Melancon (18),35609,,,
20-Jul,Sun,White Sox,AL Central,AL,Houston 11 at Chicago White Sox 7,Sipp (2-1),Webb (5-3),,26256,,,
20-Jul,Sun,Twins,AL Central,AL,Tampa Bay 5 at Minnesota 3,Archer (6-5),Correia (5-12),Yates (1),26821,,,
20-Jul,Sun,Angels,AL West,AL,at LA Angels 6 Seattle 5,Thatcher (1-1),Rodney (1-4),,37128,,,
20-Jul,Sun,Athletics,AL West,AL,at Oakland 10 Baltimore 2,Gray (11-3),Gausman (4-3),,30124,,,
20-Jul,Sun,Padres,NL West,NL,at San Diego 2 NY Mets 1,Benoit (4-2),Black (2-3),,31513,,,
20-Jul,Sun,Dbacks,NL West,NL,at Arizona 3 Chicago Cubs 2,Collmenter (8-5),Arrieta (5-2),Reed (23),37131,,,
20-Jul,Sun,Cardinals,NL Central,NL,LA Dodgers 4 at St. Louis 3,Howell (2-3),Rosenthal (1-5),Jansen (28),45255,,,
21-Jul,Mon,Yankees,AL East,AL,Texas 4 at NY Yankees 2,Mikolas (1-2),Greene (2-1),Soria (17),45278,,,
21-Jul,Mon,Phillies,NL East,NL,San Francisco 7 at Philadelphia 4,Kontos (2-0),Lee (4-5),Casilla (7),27334,,,
21-Jul,Mon,Pirates,NL Central,NL,LA Dodgers 5 at Pittsburgh 2,Ryu (10-5),Volquez (8-7),Jansen (29),28255,,,
21-Jul,Mon,Blue Jays,AL East,AL,Boston 14 at Toronto 1,Lackey (11-6),Hutchison (6-9),,27905,,,
21-Jul,Mon,Braves,NL East,NL,Miami 3 at Atlanta 1,Morris (7-0),Simmons (1-2),Cishek (22),26766,,,
21-Jul,Mon,White Sox,AL Central,AL,at Chicago White Sox 3 Kansas City 1,Sale (9-1),Guthrie (5-9),Petricka (4),18888,,,
21-Jul,Mon,Brewers,NL Central,NL,at Milwaukee 5 Cincinnati 2,Peralta (11-6),Latos (2-2),Rodriguez (29),31350,,,
21-Jul,Mon,Twins,AL Central,AL,at Minnesota 4 Cleveland 3,Fien (5-4),Shaw (4-2),Perkins (23),25109,,,
21-Jul,Mon,Rockies,NL West,NL,Washington 7 at Colorado 2,Fister (9-2),Morales (5-5),,33082,,,
21-Jul,Mon,Dbacks,NL West,NL,Detroit 4 at Arizona 3,Verlander (9-8),Delgado (1-2),Nathan (20),25907,y,,
21-Jul,Mon,Angels,AL West,AL,Baltimore 4 at LA Angels 2,Norris (8-6),Shoemaker (7-3),Britton (17),39028,,,
21-Jul,Mon,Mariiners,AL West,AL,at Seattle 5 NY Mets 2,Elias (8-8),Niese (5-5),,21943,y,,
22-Jul,Tues,Yankees,AL East,AL,at NY Yankees 2 Texas 1,Francis (1-1),Tepesch (3-6),,37669,,,
22-Jul,Tues,Phillies,NL East,NL,San Francisco 9 at Philadelphia 6,Kontos (3-0),Manship (1-2),Lincecum (1),30109,,,
22-Jul,Tues,Pirates,NL Central,NL,at Pittsburgh 12 LA Dodgers 7,Worley (3-1),Maholm (1-5),,30629,,,
22-Jul,Tues,Blue Jays,AL East,AL,at Toronto 7 Boston 3,Happ (8-5),Peavy (1-9),Cecil (4),29269,,,
22-Jul,Tues,Braves,NL East,NL,Miami 6 at Atlanta 5,Turner (3-6),Minor (3-6),Cishek (23),22998,,,
22-Jul,Tues,Cubs,NL Central,NL,at Chicago Cubs 6 San Diego 0,Hendricks (1-0),Stults (3-12),,32730,,,
22-Jul,Tues,White Sox,AL Central,AL,Kansas City 7 at Chicago White Sox 1,Chen (2-2),Carroll (4-6),,20428,,,
22-Jul,Tues,Brewers,NL Central,NL,at Milwaukee 4 Cincinnati 3,Rodriguez (4-3),LeCure (1-2),,33485,,,
22-Jul,Tues,Twins,AL Central,AL,Cleveland 8 at Minnesota 2,Salazar (2-4),Pino (1-3),,28291,,,
22-Jul,Tues,Cardinals,NL Central,NL,Tampa Bay 7 at St. Louis 2,Odorizzi (6-8),Wainwright (12-5),,43623,y,,
22-Jul,Tues,Rockies,NL West,NL,Washington 7 at Colorado 4,Stammen (1-4),Brown (0-1),Soriano (23),36874,,,
22-Jul,Tues,Dbacks,NL West,NL,at Arizona 5 Detroit 4,De La Rosa (2-0),Coke (1-2),Reed (24),29515,y,,
22-Jul,Tues,Angels,AL West,AL,Baltimore 4 at LA Angels 2,Gonzalez (5-5),Morin (2-3),Britton (18),35353,,,
22-Jul,Tues,Athletics,AL West,AL,Houston 3 at Oakland 2,Downs (2-1),Abad (2-4),Qualls (11),22908,,,
22-Jul,Tues,Mariiners,AL West,AL,NY Mets 3 at Seattle 1,deGrom (4-5),Ramirez (1-5),Mejia (12),18681,y,,
23-Jul,Weds,Twins,AL Central,AL,at Minnesota 3 Cleveland 1,Swarzak (2-0),Bauer (4-5),Perkins (24),34608,,,
23-Jul,Weds,White Sox,AL Central,AL,Kansas City 2 at Chicago White Sox 1,Davis (6-2),Putnam (3-2),Holland (26),23811,,,
23-Jul,Weds,Brewers,NL Central,NL,at Milwaukee 5 Cincinnati 1,Lohse (11-4),Leake (7-9),,38192,,,
23-Jul,Weds,Rockies,NL West,NL,at Colorado 6 Washington 4,De La Rosa (11-6),Strasburg (7-8),,30728,,,
23-Jul,Weds,Mariiners,AL West,AL,NY Mets 3 at Seattle 2,Colon (9-8),Walker (1-2),Mejia (13),36224,y,,
23-Jul,Weds,Dbacks,NL West,NL,Detroit 11 at Arizona 5,Sanchez (7-4),Cahill (1-6),,24174,y,,
23-Jul,Weds,Phillies,NL East,NL,San Francisco 3 at Philadelphia 1,Bumgarner (12-7),Papelbon (2-2),Casilla (8),28648,,,
23-Jul,Weds,Yankees,AL East,AL,at NY Yankees 2 Texas 1,Phelps (5-4),Darvish (9-6),,37585,,,
23-Jul,Weds,Pirates,NL Central,NL,at Pittsburgh 6 LA Dodgers 1,Liriano (2-7),Haren (8-8),,30785,,,
23-Jul,Weds,Blue Jays,AL East,AL,at Toronto 6 Boston 4,Dickey (8-10),Buchholz (5-6),Janssen (15),35696,,,
23-Jul,Weds,Braves,NL East,NL,at Atlanta 6 Miami 1,Santana (9-6),Eovaldi (5-6),,20102,,,
23-Jul,Weds,Cardinals,NL Central,NL,Tampa Bay 3 at St. Louis 0,Cobb (6-6),Lynn (11-7),McGee (9),43564,y,,
23-Jul,Weds,Cubs,NL Central,NL,San Diego 8 at Chicago Cubs 3,Kennedy (8-9),Wada (0-1),,30718,,,
23-Jul,Weds,Angels,AL West,AL,at LA Angels 3 Baltimore 2,Weaver (11-6),Hunter (2-2),Street (1),40185,,,
23-Jul,Weds,Athletics,AL West,AL,at Oakland 9 Houston 7,Chavez (8-6),Peacock (3-7),Doolittle (15),28310,,,
24-Jul,Thurs,Blue Jays,AL East,AL,at Toronto 8 Boston 0,Stroman (6-2),De La Rosa (3-3),,46683,,,
24-Jul,Thurs,Yankees,AL East,AL,at NY Yankees 4 Texas 2,McCarthy (2-0),Lewis (6-8),Robertson (25),45105,,,
24-Jul,Thurs,Phillies,NL East,NL,at Philadelphia 2 San Francisco 1,Hamels (5-5),Hudson (8-7),Papelbon (24),33258,,,
24-Jul,Thurs,Athletics,AL West,AL,at Oakland 13 Houston 1,Samardzija (2-1),Feldman (4-8),,22759,,,
24-Jul,Thurs,Braves,NL East,NL,Miami 3 at Atlanta 2,Alvarez (7-5),Kimbrel (0-2),Cishek (24),26446,,,
24-Jul,Thurs,Cubs,NL Central,NL,San Diego 13 at Chicago Cubs 3,Ross (9-10),Jackson (5-11),,31321,,,
24-Jul,Thurs,Royals,AL Central,AL,at Kansas City 2 Cleveland 1,Crow (5-1),Rzepczynski (0-3),,22120,,,
